2026-05-05 22:46:43 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 200 rows
2026-05-05 22:46:43 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:43 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:43 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 200 rows
2026-05-05 22:46:43 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:43 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:43 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 200 rows
2026-05-05 22:46:43 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:43 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:43 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 200 rows
2026-05-05 22:46:43 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:43 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:43 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 200 rows
2026-05-05 22:46:43 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:43 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:43 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 200 rows
2026-05-05 22:46:43 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:43 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:43 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 200 rows
2026-05-05 22:46:43 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:43 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:43 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 200 rows
2026-05-05 22:46:43 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:43 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
